,x_pos_s1,y_pos_s1,z_pos_s1,x_pos_s2,y_pos_s2,z_pos_s2,x_pos_s3,y_pos_s3,z_pos_s3,x_pos_s4,y_pos_s4,z_pos_s4,x_pos_s5,y_pos_s5,z_pos_s5
0,1599.17,212.0,121.0,276.51,2032.48,121.0,-1863.59,1337.12,121.0,-1863.59,-913.12,121.0,276.51,-1608.48,121.0
1,1598.12,225.18,121.0,262.96,2036.51,121.0,-1872.3,1326.43,121.0,-1856.81,-923.75,121.0,288.03,-1604.37,121.0
2,1598.11,226.78,121.0,261.44,2036.99,121.0,-1873.24,1325.13,121.0,-1855.86,-925.04,121.0,289.55,-1603.86,121.0
3,1598.1,228.38,121.0,259.91,2037.48,121.0,-1874.16,1323.83,121.0,-1854.91,-926.33,121.0,291.07,-1603.35,121.0
4,1598.08,228.98,121.0,258.39,2036.96,121.0,-1875.09,1321.53,121.0,-1853.96,-928.61,121.0,292.58,-1603.85,121.0
5,1598.07,230.58,121.0,256.86,2037.44,121.0,-1876.02,1320.22,121.0,-1853.01,-929.9,121.0,294.1,-1603.34,121.0
6,1598.05,232.18,121.0,255.33,2037.92,121.0,-1876.95,1318.92,121.0,-1852.05,-931.18,121.0,295.62,-1602.83,121.0
7,1598.03,233.78,121.0,253.81,2038.39,121.0,-1877.87,1317.61,121.0,-1851.1,-932.47,121.0,297.13,-1602.31,121.0
8,1598.01,235.38,121.0,252.28,2038.87,121.0,-1878.8,1316.31,121.0,-1850.14,-933.75,121.0,298.65,-1601.8,121.0
9,1597.99,236.98,121.0,250.75,2039.34,121.0,-1879.72,1315.0,121.0,-1849.18,-935.03,121.0,300.16,-1601.29,121.0
10,1597.97,238.58,121.0,249.22,2039.82,121.0,-1880.64,1313.69,121.0,-1848.22,-936.31,121.0,301.68,-1600.77,121.0
11,1597.95,240.18,121.0,247.69,2040.29,121.0,-1881.56,1312.38,121.0,-1847.26,-937.59,121.0,303.19,-1600.25,121.0
12,1597.92,241.78,121.0,246.16,2040.76,121.0,-1882.48,1311.08,121.0,-1846.3,-938.87,121.0,304.7,-1599.74,121.0
13,1597.89,243.38,121.0,244.63,2041.23,121.0,-1883.4,1309.77,121.0,-1845.34,-940.15,121.0,306.22,-1599.22,121.0
14,1597.87,244.98,121.0,243.1,2041.69,121.0,-1884.32,1308.46,121.0,-1844.38,-941.43,121.0,307.73,-1598.7,121.0
15,1597.84,246.58,121.0,241.57,2042.16,121.0,-1885.24,1307.14,121.0,-1843.42,-942.71,121.0,309.24,-1598.17,121.0
16,1597.81,248.18,121.0,240.04,2042.63,121.0,-1886.15,1305.83,121.0,-1842.45,-943.98,121.0,310.76,-1597.65,121.0
17,1597.78,249.78,121.0,238.51,2043.09,121.0,-1887.07,1304.52,121.0,-1841.49,-945.26,121.0,312.27,-1597.13,121.0
18,1597.74,251.38,121.0,236.98,2043.55,121.0,-1887.98,1303.21,121.0,-1840.52,-946.53,121.0,313.78,-1596.6,121.0
19,1597.71,252.98,121.0,235.45,2044.02,121.0,-1888.89,1301.89,121.0,-1839.55,-947.81,121.0,315.29,-1596.07,121.0
20,1597.67,254.57,121.0,233.92,2044.48,121.0,-1889.81,1300.58,121.0,-1838.58,-949.08,121.0,316.8,-1595.55,121.0
21,1597.64,256.17,121.0,232.38,2044.93,121.0,-1890.72,1299.26,121.0,-1837.61,-950.35,121.0,318.31,-1595.02,121.0
22,1597.6,257.77,121.0,230.85,2045.39,121.0,-1891.63,1297.94,121.0,-1836.64,-951.62,121.0,319.82,-1594.48,121.0
23,1597.56,259.37,121.0,229.32,2045.85,121.0,-1892.53,1296.63,121.0,-1835.67,-952.9,121.0,321.33,-1593.95,121.0
24,1597.52,260.97,121.0,227.78,2046.3,121.0,-1893.44,1295.31,121.0,-1834.69,-954.17,121.0,322.84,-1593.42,121.0
25,1597.47,262.57,121.0,226.25,2046.76,121.0,-1894.35,1293.99,121.0,-1833.72,-955.43,121.0,324.34,-1592.88,121.0
26,1596.43,264.17,121.0,223.71,2047.21,121.0,-1896.25,1292.67,121.0,-1833.74,-956.7,121.0,324.85,-1592.35,121.0
27,1596.38,265.77,121.0,222.18,2047.66,121.0,-1897.15,1291.35,121.0,-1832.77,-957.97,121.0,326.36,-1591.81,121.0
28,1596.34,267.37,121.0,220.64,2048.11,121.0,-1898.06,1290.03,121.0,-1831.79,-959.24,121.0,327.87,-1591.27,121.0
29,1596.29,267.97,121.0,219.11,2047.56,121.0,-1898.96,1287.71,121.0,-1830.81,-961.5,121.0,329.37,-1591.73,121.0
30,1596.24,269.57,121.0,217.57,2048.01,121.0,-1899.86,1286.38,121.0,-1829.83,-962.77,121.0,330.88,-1591.19,121.0
31,1596.19,271.17,121.0,216.03,2048.45,121.0,-1900.76,1285.06,121.0,-1828.85,-964.03,121.0,332.38,-1590.65,121.0
32,1596.14,272.77,121.0,214.5,2048.9,121.0,-1901.66,1283.74,121.0,-1827.87,-965.29,121.0,333.89,-1590.11,121.0
33,1596.09,274.37,121.0,212.96,2049.34,121.0,-1902.55,1282.41,121.0,-1826.89,-966.56,121.0,335.39,-1589.56,121.0
34,1596.03,275.97,121.0,211.42,2049.79,121.0,-1903.45,1281.08,121.0,-1825.9,-967.82,121.0,336.9,-1589.02,121.0
35,1595.98,277.56,121.0,209.88,2050.23,121.0,-1904.34,1279.76,121.0,-1824.92,-969.08,121.0,338.4,-1588.47,121.0
36,1595.92,279.16,121.0,208.35,2050.67,121.0,-1905.24,1278.43,121.0,-1823.93,-970.34,121.0,339.9,-1587.92,121.0
37,1595.86,280.76,120.0,206.81,2051.1,120.0,-1906.13,1277.1,120.0,-1822.94,-971.6,120.0,341.41,-1587.37,120.0
38,1595.8,282.36,120.0,205.27,2051.54,120.0,-1907.02,1275.77,120.0,-1821.96,-972.86,120.0,342.91,-1586.82,120.0
39,1595.74,283.96,120.0,203.73,2051.98,120.0,-1907.91,1274.44,120.0,-1820.97,-974.11,120.0,344.41,-1586.27,120.0
40,1595.68,285.56,120.0,202.19,2052.41,120.0,-1908.8,1273.11,120.0,-1819.98,-975.37,120.0,345.91,-1585.71,120.0
41,1595.61,287.16,120.0,200.65,2052.85,120.0,-1909.69,1271.78,120.0,-1818.98,-976.63,120.0,347.41,-1585.16,120.0
42,1595.59,287.8,120.0,200.03,2053.02,120.0,-1910.05,1271.25,120.0,-1818.58,-977.13,120.0,348.02,-1584.94,120.0
43,1595.52,289.4,120.0,198.49,2053.45,120.0,-1910.93,1269.92,120.0,-1817.59,-978.39,120.0,349.52,-1584.38,120.0
44,1595.45,291.0,120.0,196.95,2053.88,120.0,-1911.82,1268.58,120.0,-1816.6,-979.64,120.0,351.01,-1583.82,120.0
45,1595.39,292.6,120.0,195.41,2054.31,120.0,-1912.7,1267.25,120.0,-1815.6,-980.89,120.0,352.51,-1583.26,120.0
46,1595.32,294.2,120.0,193.86,2054.74,120.0,-1913.58,1265.92,120.0,-1814.61,-982.15,120.0,354.01,-1582.7,120.0
47,1595.24,295.79,120.0,192.32,2055.16,120.0,-1914.47,1264.58,120.0,-1813.61,-983.4,120.0,355.51,-1582.14,120.0
48,1595.17,297.39,120.0,190.78,2055.59,120.0,-1915.35,1263.24,120.0,-1812.61,-984.65,120.0,357.01,-1581.58,120.0
49,1595.1,298.99,120.0,189.24,2056.01,120.0,-1916.23,1261.91,120.0,-1811.61,-985.9,120.0,358.51,-1581.01,120.0
50,1595.02,300.59,120.0,187.69,2056.44,120.0,-1917.11,1260.57,120.0,-1810.61,-987.15,120.0,360.0,-1580.45,120.0
51,1594.95,302.19,120.0,186.15,2056.86,120.0,-1917.98,1259.23,120.0,-1809.61,-988.4,120.0,361.5,-1579.88,120.0
52,1594.87,303.79,120.0,184.61,2057.28,120.0,-1918.86,1257.89,120.0,-1808.61,-989.64,120.0,363.0,-1579.31,120.0
53,1593.79,305.38,120.0,182.06,2057.7,120.0,-1920.74,1256.56,120.0,-1808.61,-990.89,120.0,363.49,-1578.75,120.0
54,1593.71,305.98,120.0,180.52,2057.11,120.0,-1921.61,1254.22,120.0,-1807.6,-993.13,120.0,364.99,-1579.18,120.0
55,1593.63,307.58,120.0,178.97,2057.53,120.0,-1922.48,1252.87,120.0,-1806.6,-994.38,120.0,366.48,-1578.6,120.0
56,1593.55,309.18,120.0,177.43,2057.94,120.0,-1923.36,1251.53,120.0,-1805.59,-995.62,120.0,367.97,-1578.03,120.0
