,x_pos_s1,y_pos_s1,z_pos_s1,x_pos_s2,y_pos_s2,z_pos_s2,x_pos_s3,y_pos_s3,z_pos_s3,x_pos_s4,y_pos_s4,z_pos_s4,x_pos_s5,y_pos_s5,z_pos_s5
0,420635.4,1979167.55,121000.0,-577995.37,-1684015.3,121000.0,-541870.56,2112676.29,121000.0,386876.73,-1568845.21,121000.0,-1445910.8,1756370.87,121000.0
1,-224361.79,2123973.6,121000.0,80666.46,-1660617.5,121000.0,-1174989.94,1922607.17,121000.0,949050.59,-1224554.08,121000.0,-1904251.91,1280408.38,121000.0
2,-224361.79,2123973.6,121000.0,80666.46,-1660617.5,121000.0,-1174989.94,1922607.17,121000.0,949050.59,-1224554.08,121000.0,-1904251.91,1280408.38,121000.0
3,-224361.79,2123973.6,121000.0,80666.46,-1660617.5,121000.0,-1174989.94,1922607.17,121000.0,949050.59,-1224554.08,121000.0,-1904251.91,1280408.38,121000.0
4,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
5,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
6,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
7,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
8,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
9,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
10,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
11,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
12,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
13,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
14,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
15,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
16,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
17,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
18,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
19,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
20,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
21,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
22,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
23,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
24,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
25,-224361.79,2122973.6,121000.0,80666.46,-1661617.5,121000.0,-1174989.94,1921607.17,121000.0,949050.59,-1225554.08,121000.0,-1904251.91,1279408.38,121000.0
26,-225361.79,2122973.6,121000.0,79666.46,-1661617.5,121000.0,-1175989.94,1921607.17,121000.0,948050.59,-1225554.08,121000.0,-1905251.91,1279408.38,121000.0
27,-225361.79,2122973.6,121000.0,79666.46,-1661617.5,121000.0,-1175989.94,1921607.17,121000.0,948050.59,-1225554.08,121000.0,-1905251.91,1279408.38,121000.0
28,-225361.79,2122973.6,121000.0,79666.46,-1661617.5,121000.0,-1175989.94,1921607.17,121000.0,948050.59,-1225554.08,121000.0,-1905251.91,1279408.38,121000.0
29,-225361.79,2121973.6,121000.0,79666.46,-1662617.5,121000.0,-1175989.94,1920607.17,121000.0,948050.59,-1226554.08,121000.0,-1905251.91,1278408.38,121000.0
